,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
y,1.0,0.003208806762520629,0.07681062882731574,0.639114746020459,0.02931853551564919,0.5513029507290786,0.5817225900245854,0.6213312016920199,0.008015053585328,0.6466429422505403,0.6746316022058563,0.780155724919272,0.6536498742042526,0.010820202386350465,0.06727540200636321,0.6424828171899766,0.5267335822677539,0.6318886418450614,0.5790723760050919,0.02641208050012016,0.657324528339564,0.7585818030791768,0.6205315894902631,0.0218163083881943,0.6298299140264991,0.03584935385038443,0.046003166250931975,0.562781863672053,0.04315157061167319,0.028236380292023654,0.5512104253580875,0.524142333981934,0.6594313977003752,0.4933148586173609,0.6144478141985892,0.6009264048904159,0.6042078951648857,0.6357448445774004,0.6534660804468865,0.8641187411439651
x_1,0.003208806762520629,1.0,0.06136506013362004,0.010364781964117751,0.0076601289046852135,0.0020600163175252474,0.04071425711127849,0.027314746006435155,0.013180761840931365,0.006987148669108538,0.0034551026718567567,0.017430808812306665,0.02884664231931264,0.024449434738122524,0.014893587735545218,0.0067350007992470215,0.02495032842076026,0.013253037360762377,0.004554365241210886,0.006902296522918702,0.07292494465707086,0.03811870471052107,0.0055352383276716976,0.005879834230139971,0.023162527794823376,0.11890156370932124,0.053713499074364957,0.05304752953256955,0.007030727417163544,0.07641995473083234,0.01440971024601588,0.006290069492948396,0.028055292785230775,0.03228499720165044,0.03232597802980492,0.023504567806876753,0.07009720997712328,0.006104367741650777,0.020984809588810487,0.030034039170409182
x_2,0.07681062882731574,0.06136506013362004,1.0,0.07974658810891742,0.03024208148466278,0.03674332918902867,0.04343465164300452,0.05940560567118691,0.08446923501819469,0.05383642422218023,0.1185828761220582,0.10836934817666051,0.0755289308941427,0.031502847507829196,0.06612134309027094,0.06910171601561843,0.04802748957137728,0.036255129390192015,0.024455154770731666,0.0014163479509989288,0.04517560182039639,0.05744800575447893,0.0629578160243988,0.03040394050305094,0.053474136796998153,0.07732304021779474,0.06883403878924597,0.057978794621746016,0.056476418462896805,0.11505797194108537,0.0423813283698096,0.04390724737551192,0.0787988571250511,0.05162690055962671,0.04388741516729447,0.050008919160840104,0.034950931354740686,0.0028193573648316764,0.03485990180175252,0.0393327260963756
x_3,0.639114746020459,0.010364781964117751,0.07974658810891742,1.0,0.09332741962927686,0.42280552714574626,0.382628272310478,0.38648830218056063,0.06964295561881764,0.7236221045358645,0.42814087456981864,0.47001374633498144,0.37168695102618715,0.0466506991645647,0.009790568504771927,0.4036733950556531,0.3964392098445617,0.3964896808984736,0.32164581312115587,0.0737518417889858,0.4244645295497578,0.48992234540160445,0.40507137941393806,0.007744922423927417,0.4915350113179089,0.02332046139623206,0.04261180030656548,0.44131802275132215,0.02311093638352808,0.014942437100457721,0.4130489926530151,0.42763528885427654,0.38361020824325137,0.2273595099844196,0.4182138381796057,0.37719839868386773,0.3751755164004452,0.36948213049280226,0.39803325421199454,0.5219842639016632
x_4,0.02931853551564919,0.0076601289046852135,0.03024208148466278,0.09332741962927686,1.0,0.029409636235338772,0.010504435439583997,0.010893066285022,0.0085359959567477,0.07431057363556681,0.038765052579497306,0.04562327867222711,0.04246876889528303,0.02260392027795612,0.0443222020251818,0.0038787395609301187,0.02220080473089427,0.017264808789425507,0.028325467702331353,0.04748527383571292,0.02496662795864312,0.0016064018075123384,0.010015287626224787,0.06582402980177837,0.001935245755637041,0.026021582387525704,0.020629686670481776,0.03284321122664034,0.01367213357622888,0.05357060703664032,0.0493715543256062,0.011683157010143606,0.007574570228905843,0.02312634637115892,0.016153134971996257,0.06856232432342114,0.04461263106200533,0.03605582255937789,0.021178374998111534,0.025827073054575482
x_5,0.5513029507290786,0.0020600163175252474,0.03674332918902867,0.42280552714574626,0.029409636235338772,1.0,0.4300441874368118,0.41122779149619487,0.00262747386248274,0.11142724588295731,0.48479520016653904,0.5318878794356829,0.42459878240610227,0.010983369525027525,0.07505886521013877,0.437158013447598,0.4455701206416213,0.424642252671,0.3340811258608465,0.0004494028119674617,0.4729779551851097,0.5204254570089998,0.4065517132887633,0.039411851422972495,0.5484101283684408,0.04374061763430742,0.02148519838906775,0.47568509918325624,0.0407477239978494,0.044533193969830666,0.47781361665830263,0.4972134381009455,0.443940132405475,0.2297902326905216,0.43101285129839445,0.4571474522175625,0.40602149221233835,0.4078497052838366,0.4148174931189092,0.5750317068960539
x_6,0.5817225900245854,0.04071425711127849,0.04343465164300452,0.382628272310478,0.010504435439583997,0.4300441874368118,1.0,0.431740829973474,0.0013953396050376897,0.6362770496861229,0.3829786584062801,0.4425560980938941,0.3849429647573135,0.03141143858346715,0.067454766734836,0.4057019570330441,0.46132824054761323,0.3408485793276366,0.25021278793128743,0.08915079995825424,0.4144782282193227,0.47885697523935106,0.4007780802413378,0.042449455669661795,0.5052809377932338,0.05430773381010903,0.09183624656033511,0.4416031247614314,0.024148878909477513,0.0076310924229060035,0.4369513370791494,0.45171204489045197,0.38288911402620085,0.18823435303253466,0.38695598607054454,0.36532346368405627,0.3692814459935849,0.3720946932236707,0.3808437188729143,0.5121992296483847
x_7,0.6213312016920199,0.027314746006435155,0.05940560567118691,0.38648830218056063,0.010893066285022,0.41122779149619487,0.431740829973474,1.0,3.212477345303841e-05,0.6925911219089587,0.40869540386081454,0.46741807454969814,0.3882670595617817,0.01901340463485784,0.09238735978444176,0.38077746753256486,0.37854735904433023,0.3617728164601683,0.29119536927534495,0.02398872694252814,0.4182632047744992,0.48426245223623143,0.40369384856906854,0.005028473341714614,0.4748256383996009,0.10003064952712498,0.031049539235902285,0.4375034848474276,0.041088833321388574,0.09730609155762994,0.40775583071711385,0.44704890554064014,0.41981907227753623,0.20735703525601643,0.36607108909005664,0.3645896763720121,0.349298652673945,0.3967232195091237,0.3825263591797838,0.5142741628670177
x_8,0.008015053585328,0.013180761840931365,0.08446923501819469,0.06964295561881764,0.0085359959567477,0.00262747386248274,0.0013953396050376897,3.212477345303841e-05,1.0,0.04227864824594409,0.012044223164472229,0.002008097412794612,0.01103438128102871,0.014890750569164748,0.0440121910077408,0.0003627996448089994,0.0410160513019862,0.015448328407048987,0.013639035926968846,0.017946023491176855,0.06572136511178016,0.07053568607986867,0.04940288781752049,0.03487866474346367,0.01961707551320685,0.012092111373747032,0.003935441412237444,0.03274599575039827,0.014114132102085957,0.045999281507542907,0.01573468746917699,0.07186437732172861,0.005513505259266475,0.038363386033086595,0.021769983232363992,0.015331125791155876,0.009829319909373102,0.010431877382443454,0.024618729043069956,0.005688761794639274
x_9,0.6466429422505403,0.006987148669108538,0.05383642422218023,0.7236221045358645,0.07431057363556681,0.11142724588295731,0.6362770496861229,0.6925911219089587,0.04227864824594409,1.0,0.36743553594021783,0.4210250808666578,0.3545252547577204,0.029726804792113908,0.030157300302474765,0.37137240247109615,0.3748393215908632,0.3346394323492897,0.2717251249090633,0.09534435028520286,0.3887445708218682,0.4564791140115418,0.38724627025694497,0.040861142413287206,0.45922980091996746,0.08075605928771365,0.06729236905037769,0.4191271073744394,0.0013207019232826525,0.012036092704561343,0.39170824542599736,0.40211933606535594,0.365211234751267,0.1982494206440023,0.36826644652185553,0.3112529706816988,0.3320726337947472,0.3569522252834962,0.37498880794790335,0.47745141200250885
