,y,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39
y,1.0,0.028034507077827432,0.09390903657319252,0.5902360375700826,0.031986922463217264,0.4886907835421226,0.5788291377677128,0.5073432668681945,0.04482060303516664,0.5835195356340368,0.5818581105237204,0.7144322785554234,0.5748271732688336,0.01160642180017073,0.0127198780808502,0.5443519202234596,0.5228986968905878,0.5959569514891526,0.5005291073384668,0.04911080246505331,0.6213065911577086,0.7342293845792713,0.6024278005013477,0.08377022444547301,0.6528321361156109,0.051474572845636994,0.06420834175181943,0.550897853086969,0.01463172168852227,0.03634177403159487,0.5314146429947955,0.48546763581187813,0.52474056887949,0.3364559397339875,0.5257670423994927,0.5209695196298763,0.6602436368748381,0.6216141034168441,0.5622850493092499,0.8466461888406372
x_1,0.028034507077827432,1.0,0.024897748932765564,0.054446704371375734,0.03600096885167948,0.06784822948344896,0.06659814692267876,0.07574603924692123,0.08290938571497344,0.014438037130697244,0.10825827804164895,0.04132989659701929,0.06164456804558286,0.027054759732759472,0.03438653883321738,0.0661620125826165,0.010857869679428245,0.03623624694864223,0.05557456279559498,0.06653457589700484,0.11020923207787141,0.12264363339740147,0.0769413909753282,0.1325360022405716,0.04252558468165652,0.03757585692310025,0.008607348768468994,0.08903720291358729,0.07413502592326401,0.06527751206653278,0.0034633436569677456,0.025362910745007974,0.011072212049384439,0.014784506108223145,0.0011833533416825022,0.051346267819430545,0.06772631735737564,0.0537931213823749,0.013743955841231332,0.020677530234547662
x_2,0.09390903657319252,0.024897748932765564,1.0,0.045194461002552595,0.02083338516820654,0.03494929203433454,0.03882489503980426,0.03156938087323485,0.08361743387033507,0.05250310453403217,0.04218085632101134,0.030750887386439687,0.0027145247120600948,0.029003541521190182,0.04076131728118022,0.04674503122974806,0.020821789645448282,0.041655915911880725,0.09613191079939316,0.010950855937662676,0.08135873962609903,0.16974893551835882,0.18494483829211908,0.027171947375595192,0.07431579575071617,0.09569943090896008,0.04730618882941172,0.04960949247233698,0.004994862142504663,0.09254307777622425,0.10630443932666632,0.007462661322587179,0.004409286345049855,0.056058003277732915,0.10143792291677163,0.003870152995072991,0.11127885508105527,0.08188037864635415,0.004697527470708956,0.068678898184405
x_3,0.5902360375700826,0.054446704371375734,0.045194461002552595,1.0,0.09083433288148507,0.43765929148152005,0.36469803504938625,0.29256361787977053,0.03742171395103529,0.6700025433011135,0.33914010220071006,0.3632075540697772,0.27321039438883027,0.029105276183736793,0.023875627252232957,0.34874014510840107,0.41602482685635456,0.30699481712903354,0.21875245441637306,0.10150282879427881,0.434765836272079,0.46361084532550106,0.3419865319788641,0.07476340316301526,0.4712274222832189,0.0021841561040908024,0.04068497350258294,0.4005729655127503,0.010560305862509372,0.05064410374932514,0.3800951837979267,0.3647620512976067,0.2016441875364161,0.05246423724659066,0.332833365336822,0.3739463813250441,0.34839569211125737,0.43483665029507956,0.3005694994474551,0.5079377088357426
x_4,0.031986922463217264,0.03600096885167948,0.02083338516820654,0.09083433288148507,1.0,0.04141653424867125,0.004589242622943625,0.02020464232635782,0.018431770896783536,0.040302275782932225,0.06223583083647458,0.05954128227890062,0.03835515717060208,0.06079803238413165,0.0637988481105394,0.07463485896551549,0.027563325900626955,0.056892268943062915,0.05214171589091371,0.008323024423459143,0.03342620747614504,0.008308640695519566,0.05541745515378775,0.03759425804808468,0.12134084931328694,0.03844390350375821,0.14660905672115576,0.10700472503315346,0.06858261624594761,0.01330838550921789,0.09679805493258022,0.012056591110871314,0.02049426843400538,0.017237995256400067,0.07461166786228014,0.027216881444763072,0.04549699549311354,0.008501105255352852,0.0613873179949748,0.03649553683248432
x_5,0.4886907835421226,0.06784822948344896,0.03494929203433454,0.43765929148152005,0.04141653424867125,1.0,0.38938387004505826,0.33687667597469373,0.002134368731260821,0.013197736683217998,0.34508876378819203,0.39283371177026744,0.3100910343447095,0.02799399170683662,0.03885809982561915,0.3031035104337565,0.4399524330919126,0.36134122828759774,0.19332609858663757,0.024698799186679905,0.4402458309449418,0.5394668684289029,0.45140837971818265,0.14518621269201193,0.5343089509923711,0.06919255628225494,0.01021952905132713,0.46828854622983723,0.027183267079134262,0.0547889873329132,0.42619786092869416,0.432378149503783,0.2816815869744563,0.10607612511442263,0.3689614608933023,0.3483201596750925,0.43067173352223004,0.44613358142336307,0.3899801752830705,0.5694167131739635
x_6,0.5788291377677128,0.06659814692267876,0.03882489503980426,0.36469803504938625,0.004589242622943625,0.38938387004505826,1.0,0.2655518292122067,0.07468876322546095,0.5372519681770188,0.34545111244231597,0.3917485718893591,0.2884409672396371,0.025720210074985192,0.04976520041795379,0.33198631851971383,0.4092458581377034,0.3194122935032468,0.2262861202797789,0.03987755159507838,0.3984328654668595,0.47117092456386384,0.3971022925685374,0.053183754460107785,0.48152795333302423,0.0662780821113607,0.049936673648498124,0.3960700892368992,0.0055598418227800215,0.08919683349829334,0.40181818662636637,0.33094608822200994,0.28425926885963854,0.1342929864057734,0.2681696007785021,0.2757859453664641,0.33270925843461224,0.4313737222445,0.30656568812851676,0.4866968869219376
x_7,0.5073432668681945,0.07574603924692123,0.03156938087323485,0.29256361787977053,0.02020464232635782,0.33687667597469373,0.2655518292122067,1.0,0.01238071635189483,0.6117575937232501,0.30463461955700166,0.3670632263022454,0.2714350069569532,0.04031117832290318,0.0030381710458025546,0.3014627592108529,0.32443716760876606,0.35357820909355175,0.26079734840906854,0.06000640720969935,0.33448089896910443,0.3704700004228972,0.2832905032162142,0.009615993936932537,0.48561077020315724,0.021071462269819957,0.03465693698155141,0.33921480444350177,0.045997881704146995,0.005689451499544578,0.436801130746976,0.3367959609112284,0.23709634277068076,0.08197482632819215,0.30196192721447573,0.2501777853225043,0.28943017383983194,0.33099231580086247,0.2296657510348367,0.3852602821186378
x_8,0.04482060303516664,0.08290938571497344,0.08361743387033507,0.03742171395103529,0.018431770896783536,0.002134368731260821,0.07468876322546095,0.01238071635189483,1.0,0.02638887602918886,0.057065705195623415,0.0688207770233509,0.05157438566570374,0.004674633927808926,0.010612527127604852,0.045459380788394683,0.06668564090611806,0.004924112272958112,0.0047523590548241975,0.08208910570804653,0.0006849860008484068,0.006022949972615158,0.007088954908445951,0.026564937810754464,0.04929953060899993,0.05816268236528791,0.053631613625458804,0.05643262728648388,0.057387292803289844,0.06697482211319626,0.019071452619904176,0.00862503286006181,0.06792557753044424,0.0752290683695372,0.02845970595876743,0.012090981894269565,0.009108382733006893,0.017777792596770366,0.03667284713188589,0.01917481325920943
x_9,0.5835195356340368,0.014438037130697244,0.05250310453403217,0.6700025433011135,0.040302275782932225,0.013197736683217998,0.5372519681770188,0.6117575937232501,0.02638887602918886,1.0,0.2912855330141737,0.33720121397406944,0.25256757892674403,0.03256941968093886,0.014539768084487346,0.33935437157110016,0.325158896623095,0.29266320001181045,0.2620364747225802,0.11196391926124008,0.3447639339317681,0.34485554796401247,0.24340562565244137,0.0605686496195852,0.42252878808098354,0.010738863443037554,0.06530802166768644,0.310399084094725,0.06076304016019492,0.0211416163764329,0.3698293483888302,0.27886153091803473,0.19740761495248135,0.06778814118160711,0.2557968970633101,0.2741340872948768,0.24696510349904052,0.35213863652014965,0.19585438933602925,0.37411905626462444
